source,target,weight,breed
BM1-EM1-M,BM1,353,roads
BM1,BM1-EM1-M,353,roads
BM1-EM1-M,EM1,418,roads
EM1,BM1-EM1-M,418,roads
BM2-M,BM1-EM1-M,258,roads
BM1-EM1-M,BM2-M,258,roads
BM2-M,BM3-B,573,roads
EM2-M,BM2-M,343,roads
EM2-EM23,EM2-M,157,roads
EM2-M,EM2-EM23,157,roads
BM3-M,EM2-M,52,roads
EM23,EM2-EM23,230,roads
EM2-EM23,EM23,230,roads
EM2,EM2-EM23,341,roads
EM2-EM23,EM2,341,roads
BM3-B,BM3-M,200,roads
BM3-M,BM3-B,200,roads
EM3-M,BM3-M,350,roads
BM4-BD1-B,BM3-B,630,roads
BM3-B,BM4-BD1-B,630,roads
EM4-EM3,EM3-M,155,roads
EM3-M,EM4-EM3,155,roads
EM3-M,BM4-M,280,roads
BM4-M,EM3-M,280,roads
EM3,EM4-EM3,459,roads
EM4-EM3,EM3,459,roads
EM4-M,EM4-EM3,453,roads
EM4-EM3,EM4-M,453,roads
EM4-M,BM4-M,39,roads
BM4-M,EM4-M,39,roads
EM5-M,EM4-M,80,roads
EM4-M,EM5-M,80,roads
EM5,EM5-M,278,roads
EM5-M,EM5,278,roads
EM5-M,EM6-M,304,roads
EM6-M,EM5-M,304,roads
EM6,EM6-M,285,roads
EM6-M,EM6,285,roads
EM8-M,EM6-M,205,roads
EM6-M,EM8-M,205,roads
EM8,EM8-M,128,roads
EM8-M,EM8,128,roads
BM5-MD2-M,EM8-M,440,roads
EM8-M,BM5-MD2-M,440,roads
BD1-D1-D2A-D,BM4-BD1-B,186,roads
BM4-BD1-B,BD1-D1-D2A-D,186,roads
D1-09R,BD1-D1-D2A-D,159,roads
BD1-D1-D2A-D,D1-09R,159,roads
D2A-D2-09R,BD1-D1-D2A-D,241,roads
BD1-D1-D2A-D,D2A-D2-09R,241,roads
BD2-D,BD1-D1-D2A-D,209,roads
BD1-D1-D2A-D,BD2-D,209,roads
D2A-D2-09R,BD2-D,200,roads
BD2-D,D2A-D2-09R,200,roads
BD2-D,BD2-B,200,roads
BD2-B,BD2-D,200,roads
BD3-B,BD2-B,131,roads
BD2-B,BD3-B,131,roads
BD3-D,BD2-D,131,roads
BD2-D,BD3-D,131,roads
BD3-D,BD3-B,200,roads
BD3-B,BD3-D,200,roads
BD3-D,BD4-D,133,roads
BD4-D,BD3-D,133,roads
BD4-B,BD3-B,133,roads
BD3-B,BD4-B,133,roads
BD4-B,BD4-D,200,roads
BD4-D,BD4-B,200,roads
BD5-D3-D,BD4-D,160,roads
BD4-D,BD5-D3-D,160,roads
BD5-B,BD4-B,160,roads
BD4-B,BD5-B,160,roads
D3-09R,BD5-D3-D,157,roads
BD5-D3-D,D3-09R,157,roads
D4-Y1-09R,BD5-D3-D,232,roads
BD5-D3-D,D4-Y1-09R,232,roads
BD6-D4-D,BD5-D3-D,169,roads
BD5-D3-D,BD6-D4-D,169,roads
BD5-DY,BD5-D3-D,101,roads
BD5-DY,BD6-DY-D,169,roads
BD6-DY-D,BD5-DY,169,roads
BD5-B,BD5-DY,100,roads
K1-D4,D3-09R,258,roads
D3-09R,K1-D4,258,roads
Z1-09L,K1-D4,200,roads
K1-D4,Z1-09L,200,roads
K2-K,K1-D4,326,roads
K1-D4,K2-K,326,roads
D4-Y1-09R,K1-D4,210,roads
K1-D4,D4-Y1-09R,210,roads
D4-Y1-09R,D5-Y1-09R,300,roads
D5-Y1-09R,D4-Y1-09R,300,roads
D4-Y1-09R,BD6-D4-D,131,roads
BD6-D4-D,D4-Y1-09R,131,roads
BD6-DY-D,BD6-D4-D,100,roads
BD6-B,BD6-DY-D,100,roads
BD6-B,BD5-B,169,roads
MD1-D,BD6-DY-D,151,roads
D5-D-Y2,MD1-D,142,roads
MD1-D,MD1-MD2-B,180,roads
MD1-MD2-B,MD1-D,180,roads
BM5-B,BD6-B,115,roads
BM5-B,BM5-MD2-M,148,roads
BM5-MD2-M,BM5-B,148,roads
MD1-MD2-B,BM5-B,168,roads
BM5-MD2-M,MD1-MD2-B,116,roads
MD1-MD2-B,BM5-MD2-M,116,roads
BM6-MD1-M,BM5-MD2-M,127,roads
BM5-MD2-M,BM6-MD1-M,127,roads
BM6-MD1-M,MD1-MD2-B,89,roads
MD1-MD2-B,BM6-MD1-M,89,roads
D5-D-Y2,MD1-MD2-B,100,roads
MD1-MD2-B,D5-D-Y2,100,roads
BD8-BM6-B,MD1-MD2-B,122,roads
BD8-BM6-B,BM6-MD1-M,91,roads
BM6-MD1-M,BD8-BM6-B,91,roads
BD8-BM6-B,BD8-BD7,53,roads
BD8-BD7,BD8-BM6-B,53,roads
BD8-BD7,D5-D-Y2,173,roads
BD8-D6-D,D5-D-Y2,208,roads
D5-D-Y2,BD8-D6-D,208,roads
BD8-BD7,BD8-D6-D,84,roads
BD8-D6-D,BD8-BD7,84,roads
BD7-B,BD8-BD7,92,roads
D6-Y2,D5-D-Y2,320,roads
D5-D-Y2,D6-Y2,320,roads
D5-Y1-09R,D5-D-Y2,317,roads
D5-D-Y2,D5-Y1-09R,317,roads
K2-K,D5-Y1-09R,210,roads
D5-Y1-09R,K2-K,210,roads
K2-K,Z2-09L,70,roads
Z2-09L,K2-K,70,roads
K2-K,Z3-K-09L,338,roads
Z3-K-09L,K2-K,338,roads
D6-09R,Z3-K-09L,356,roads
Z3-K-09L,D6-09R,356,roads
D6-09R,D6-Y2,65,roads
D6-Y2,D6-09R,65,roads
BD8-D6-D,D6-Y2,189,roads
D6-Y2,BD8-D6-D,189,roads
DA1-M,BM6-MD1-M,578,roads
BM6-MD1-M,DA1-M,578,roads
BD7-B,BD8-BM6-B,119,roads
DA1-B,BD7-B,357,roads
DA1-D,BD8-D6-D,382,roads
BD8-D6-D,DA1-D,382,roads
Y2-Y4-09R,D6-Y2,320,roads
D6-Y2,Y2-Y4-09R,320,roads
DA1-B,DA1-D,100,roads
DA1-D,DA1-B,100,roads
DA1-B,DA1-M,191,roads
DA1-M,DA1-B,191,roads
M-A,DA1-M,48,roads
DA1-M,M-A,48,roads
Y4-Y3,Y2-Y4-09R,273,roads
Y2-Y4-09R,Y4-Y3,273,roads
Y4-Y3,Y3-Y5-09R,266,roads
Y3-Y5-09R,Y4-Y3,266,roads
Y4-Y3,DA1-D,310,roads
DA1-D,Y4-Y3,310,roads
Y4-Y3,Y4-D-Q,326,roads
Y4-D-Q,Y4-Y3,326,roads
BD9-D,DA1-D,376,roads
DA1-D,BD9-D,376,roads
BD9-D,Y4-D-Q,164,roads
Y4-D-Q,BD9-D,164,roads
BD9-D,A-W-B,151,roads
A-W-B,BD9-D,151,roads
Y4-D-Q,A-W-B,296,roads
A-W-B,Y4-D-Q,296,roads
DA1-M,DA1-A-Y,122,roads
DA1-A-Y,DA1-M,122,roads
Y,DA1-A-Y,140,roads
DA1-A-Y,Y,140,roads
DA1-A-Y,A-Z,305,roads
Z,A-Z,140,roads
A-Z,Z,140,roads
A-Z,A-A3-1,306,roads
A-A3-1,A3-Z,248,roads
Z,A3-Z,140,roads
A3-Z,Z,140,roads
A3-Z,A3-Y,100,roads
Y,A3-Y,140,roads
A3-Y,Y,140,roads
A3-Y,A3-X,119,roads
X,A3-X,140,roads
A3-X,X,140,roads
A3-X,A3-W,96,roads
W,A3-W,140,roads
A3-W,W,140,roads
A3-W,A3-U,271,roads
U,A3-U,140,roads
A3-U,U,140,roads
A3-U,A-A3-2,189,roads
A-A3-2,A-A3-1,201,roads
A-A3-1,A-A3-2,201,roads
A-A3-2,A-NA1,249,roads
A-NA1,A-A3-2,249,roads
A-U,A-NA1,78,roads
A-NA1,A-U,78,roads
U,A-U,130,roads
A-U,U,130,roads
A-V,A-U,595,roads
A-U,A-V,595,roads
V,A-V,140,roads
A-V,V,140,roads
A-W-B,A-V,214,roads
A-V,A-W-B,214,roads
W,A-W-B,140,roads
A-W-B,W,140,roads
A-W-B,A-B,102,roads
A-B,A-X,234,roads
X,A-X,160,roads
A-X,X,160,roads
A-X,M-A,156,roads
M-A,DA1-A-Y,127,roads
A-B,DA1-B,360,roads
Y5-QB1-Q,Y4-D-Q,469,roads
Y4-D-Q,Y5-QB1-Q,469,roads
Y5-QB1-Q,Y3-Y5-09R,557,roads
Y3-Y5-09R,Y5-QB1-Q,557,roads
QB2-Q,Y5-QB1-Q,176,roads
Y5-QB1-Q,QB2-Q,176,roads
QB2-Q,QB2-F-B,200,roads
