nodes,parking,runway-entrance,runway-exit,PAI,breed,name
BM1-EM1-M,true,false,false,false,intersections,BM1-EM1-M
BM1,true,false,false,false,intersections,BM1
EM1,true,false,false,false,intersections,EM1
BM2-M,true,false,false,false,intersections,BM2-M
BM3-B,false,false,false,false,intersections,BM3-B
EM2-M,true,false,false,false,intersections,EM2-M
EM2-EM23,true,false,false,false,intersections,EM2-EM23
BM3-M,false,false,false,false,intersections,BM3-M
EM23,true,false,false,false,intersections,EM23
EM2,true,false,false,false,intersections,EM2
EM3-M,true,false,false,false,intersections,EM3-M
BM4-BD1-B,false,false,false,false,intersections,BM4-BD1-B
EM4-EM3,true,false,false,false,intersections,EM4-EM3
BM4-M,true,false,false,false,intersections,BM4-M
EM3,true,false,false,false,intersections,EM3
EM4-M,true,false,false,false,intersections,EM4-M
EM5-M,true,false,false,false,intersections,EM5-M
EM5,true,false,false,false,intersections,EM5
EM6-M,true,false,false,false,intersections,EM6-M
EM6,true,false,false,false,intersections,EM6
EM8-M,false,false,false,false,intersections,EM8-M
EM8,false,false,false,false,intersections,EM8
BM5-MD2-M,false,false,false,false,intersections,BM5-MD2-M
BD1-D1-D2A-D,false,false,false,false,intersections,BD1-D1-D2A-D
D1-09R,false,true,false,false,intersections,D1-09R
D2A-D2-09R,false,true,false,false,intersections,D2A-D2-09R
BD2-D,false,false,false,false,intersections,BD2-D
BD2-B,false,false,false,false,intersections,BD2-B
BD3-B,false,false,false,false,intersections,BD3-B
BD3-D,false,false,false,false,intersections,BD3-D
BD4-D,false,false,false,false,intersections,BD4-D
BD4-B,false,false,false,false,intersections,BD4-B
BD5-D3-D,false,false,false,false,intersections,BD5-D3-D
BD5-B,false,false,false,false,intersections,BD5-B
D3-09R,false,true,false,false,intersections,D3-09R
D4-Y1-09R,false,true,false,false,intersections,D4-Y1-09R
BD6-D4-D,false,false,false,false,intersections,BD6-D4-D
BD5-DY,false,false,false,false,intersections,BD5-DY
BD6-DY-D,false,false,false,false,intersections,BD6-DY-D
K1-D4,false,false,false,false,intersections,K1-D4
Z1-09L,false,false,false,false,intersections,Z1-09L
K2-K,false,false,false,false,intersections,K2-K
D5-Y1-09R,false,true,false,false,intersections,D5-Y1-09R
BD6-B,false,false,false,false,intersections,BD6-B
MD1-D,false,false,false,false,intersections,MD1-D
D5-D-Y2,false,false,false,false,intersections,D5-D-Y2
MD1-MD2-B,false,false,false,false,intersections,MD1-MD2-B
BM5-B,false,false,false,false,intersections,BM5-B
BM6-MD1-M,false,false,false,false,intersections,BM6-MD1-M
BD8-BM6-B,false,false,false,false,intersections,BD8-BM6-B
BD8-BD7,false,false,false,false,intersections,BD8-BD7
BD8-D6-D,false,false,false,false,intersections,BD8-D6-D
BD7-B,false,false,false,false,intersections,BD7-B
D6-Y2,false,false,false,false,intersections,D6-Y2
Z2-09L,false,false,false,false,intersections,Z2-09L
Z3-K-09L,false,false,false,false,intersections,Z3-K-09L
D6-09R,false,true,false,false,intersections,D6-09R
DA1-M,false,false,false,false,intersections,DA1-M
DA1-B,false,false,false,false,intersections,DA1-B
DA1-D,false,false,false,false,intersections,DA1-D
Y2-Y4-09R,false,false,false,false,intersections,Y2-Y4-09R
M-A,false,false,false,false,intersections,M-A
Y4-Y3,false,false,false,false,intersections,Y4-Y3
Y3-Y5-09R,false,false,false,false,intersections,Y3-Y5-09R
Y4-D-Q,false,false,false,false,intersections,Y4-D-Q
BD9-D,false,false,false,false,intersections,BD9-D
A-W-B,false,false,false,false,intersections,A-W-B
DA1-A-Y,false,false,false,false,intersections,DA1-A-Y
Y,true,false,false,false,intersections,Y
A-Z,false,false,false,false,intersections,A-Z
Z,true,false,false,false,intersections,Z
A-A3-1,false,false,false,false,intersections,A-A3-1
A3-Z,true,false,false,false,intersections,A3-Z
A3-Y,true,false,false,false,intersections,A3-Y
A3-X,true,false,false,false,intersections,A3-X
X,true,false,false,false,intersections,X
A3-W,true,false,false,false,intersections,A3-W
W,true,false,false,false,intersections,W
A3-U,true,false,false,false,intersections,A3-U
U,true,false,false,false,intersections,U
A-A3-2,false,false,false,false,intersections,A-A3-2
A-NA1,false,false,false,false,intersections,A-NA1
A-U,false,false,false,false,intersections,A-U
A-V,false,false,false,false,intersections,A-V
V,true,false,false,false,intersections,V
A-B,false,false,false,false,intersections,A-B
A-X,false,false,false,false,intersections,A-X
Y5-QB1-Q,false,false,false,false,intersections,Y5-QB1-Q
QB2-Q,false,false,false,false,intersections,QB2-Q
QB2-F-B,true,false,false,false,intersections,QB2-F-B
QB1-B-N,true,false,false,false,intersections,QB1-B-N
NA1-FN1-N,true,false,false,false,intersections,NA1-FN1-N
F-A4,true,false,false,false,intersections,F-A4
A4,true,false,false,false,intersections,A4
QB3-B,false,false,false,false,intersections,QB3-B
QB3-Q,false,false,false,false,intersections,QB3-Q
QB4-B,false,false,false,false,intersections,QB4-B
QB4-Q,false,false,false,false,intersections,QB4-Q
QB5-B,false,false,false,false,intersections,QB5-B
QB5-Q,false,false,false,false,intersections,QB5-Q
QB6-B,false,false,false,false,intersections,QB6-B
QB6-Q,false,false,false,false,intersections,QB6-Q
QB7-B,false,false,false,false,intersections,QB7-B
QB7-Q4-Q,false,false,false,false,intersections,QB7-Q4-Q
QB7-Q,false,false,false,false,intersections,QB7-Q
Y6-QB3,false,false,false,false,intersections,Y6-QB3
Y6-27L,false,false,false,false,intersections,Y6-27L
Q2-27L,false,false,false,false,intersections,Q2-27L
Q3-Q,false,false,false,false,intersections,Q3-Q
Q3-27L,false,false,false,false,intersections,Q3-27L
Q4-27L,false,false,false,false,intersections,Q4-27L
K6-Z6-K,false,false,false,false,intersections,K6-Z6-K
K7-Z7-K,false,false,false,false,intersections,K7-Z7-K
K8-Z8-K,false,false,false,false,intersections,K8-Z8-K
Z8-27R,false,false,true,false,intersections,Z8-27R
Z7-27R,false,false,true,false,intersections,Z7-27R
Z6-27R,false,false,true,false,intersections,Z6-27R
Z5-27R,false,false,true,false,intersections,Z5-27R
QB8-B,false,false,false,false,intersections,QB8-B
QB8-Q,false,false,false,false,intersections,QB8-Q
Q5-27L,false,false,false,false,intersections,Q5-27L
QB9-Q,false,false,false,false,intersections,QB9-Q
QB9-B,false,false,false,false,intersections,QB9-B
Q6-27L,false,false,false,false,intersections,Q6-27L
QB10-Q,false,false,false,false,intersections,QB10-Q
QB10-B,false,false,false,false,intersections,QB10-B
QB11-Q,false,false,false,false,intersections,QB11-Q
QB11-B,false,false,false,false,intersections,QB11-B
QB12-B,false,false,false,false,intersections,QB12-B
QB12-Q,false,false,false,false,intersections,QB12-Q
